-1.450726985931396484e+00,3.424823582172393799e-01,1.008534431457519531e+00,1.866872538812458515e-03,-1.104942243546247482e-02,-7.487832903861999512e-01,6.627201437950134277e-01,5.463339015841484070e-02,1.448669470846652985e-02,-1.262991428375244141e-01,5.200000107288360596e-02,-1.318161785602569580e-01,-4.441107809543609619e-02,7.429965771734714508e-03,-1.104600355029106140e-01,-2.728522121906280518e-01,5.200000107288360596e-02,6.152861192822456360e-02,-4.237546026706695557e-02,-5.238054320216178894e-02,1.199960485100746155e-01,-1.446097493171691895e-01,7.410208880901336670e-02,2.730389535427093506e-01,-3.911304473876953125e-01,-5.483638048171997070e-01,-4.484729766845703125e-01,-2.664691507816314697e-01,-7.626650333404541016e-01,-1.729725152254104614e-01
-1.459874868392944336e+00,2.642504274845123291e-01,9.657825231552124023e-01,-4.041749984025955200e-03,-7.317172735929489136e-02,-8.653737902641296387e-01,4.957396686077117920e-01,-2.895607650279998779e-01,-3.117271065711975098e-01,-4.700936079025268555e-01,1.502602458000183105e+00,-4.399221539497375488e-01,-3.490999937057495117e-01,9.136821329593658447e-02,-1.943749934434890747e-01,-9.410563856363296509e-02,5.200000107288360596e-02,6.182579323649406433e-03,2.777470834553241730e-02,-8.669152110815048218e-02,1.637342721223831177e-01,-1.136880293488502502e-01,3.447432443499565125e-02,2.346807867288589478e-01,-2.234983742237091064e-01,-1.718344986438751221e-01,-3.616378903388977051e-01,-2.295524924993515015e-01,-3.108656108379364014e-01,-6.696549654006958008e-01
-1.444032430648803711e+00,2.619468271732330322e-01,9.462415575981140137e-01,2.955164294689893723e-03,-4.009471833705902100e-02,-9.185693860054016113e-01,3.932101428508758545e-01,-6.239185333251953125e-01,-2.280701994895935059e-01,-3.690411746501922607e-01,1.776644825935363770e+00,-2.325230240821838379e-01,-3.306600451469421387e-01,-2.113274633884429932e-01,-1.115780547261238098e-01,3.474515974521636963e-01,2.749306261539459229e-01,-1.375236064195632935e-01,1.414312869310379028e-01,-3.365548327565193176e-02,2.034819871187210083e-01,2.860177494585514069e-02,1.577204316854476929e-01,2.553161978721618652e-01,8.301943540573120117e-02,-3.006314039230346680e-01,-3.434815108776092529e-01,-3.357876241207122803e-01,2.223003804683685303e-01,-1.118408918380737305e+00
-1.457039237022399902e+00,2.387560158967971802e-01,9.522467851638793945e-01,4.644377529621124268e-02,-2.504922263324260712e-02,-9.228327274322509766e-01,3.815696537494659424e-01,-7.986478805541992188e-01,-2.165481895208358765e-01,-4.615093469619750977e-01,1.734514355659484863e+00,-3.038367927074432373e-01,-2.373443543910980225e-01,-2.700865566730499268e-01,-1.236235350370407104e-01,4.079295098781585693e-01,1.948970407247543335e-01,-1.189654394984245300e-01,1.493494063615798950e-01,-5.756064876914024353e-02,8.641766011714935303e-02,1.189419180154800415e-01,2.478653639554977417e-01,2.409712672233581543e-01,1.073600277304649353e-01,-3.330941498279571533e-01,-2.189539670944213867e-01,-2.312520444393157959e-01,1.678349971771240234e-01,-1.319571137428283691e+00
-1.458682298660278320e+00,2.259445786476135254e-01,9.547483325004577637e-01,5.814305692911148071e-02,-1.941403746604919434e-02,-9.232888817787170410e-01,3.791837990283966064e-01,-8.664914369583129883e-01,-1.929611861705780029e-01,-4.772613048553466797e-01,1.680433273315429688e+00,-3.035330474376678467e-01,-2.028484940528869629e-01,-2.899025380611419678e-01,-1.294166147708892822e-01,4.211207628250122070e-01,1.858885735273361206e-01,-1.126074567437171936e-01,1.486881971359252930e-01,-6.609945744276046753e-02,5.457326397299766541e-02,1.236521750688552856e-01,2.907002568244934082e-01,2.366081625223159790e-01,1.769190877676010132e-01,-3.465813696384429932e-01,-2.146915793418884277e-01,-2.342898100614547729e-01,2.285093367099761963e-01,-1.391562342643737793e+00
-1.457155108451843262e+00,1.942820549011230469e-01,9.571604728698730469e-01,6.952552497386932373e-02,-1.516510453075170517e-02,-9.283353090286254883e-01,3.648695945739746094e-01,-9.209817647933959961e-01,-1.422973126173019409e-01,-4.930291771888732910e-01,1.499623537063598633e+00,-3.253305554389953613e-01,-1.508812606334686279e-01,-3.086469173431396484e-01,-1.532062590122222900e-01,4.643354415893554688e-01,1.788321882486343384e-01,-1.093019247055053711e-01,1.714983880519866943e-01,-4.861297830939292908e-02,3.673914819955825806e-02,1.579039096832275391e-01,3.447453975677490234e-01,2.158371210098266602e-01,2.839851081371307373e-01,-3.705736398696899414e-01,-1.832624375820159912e-01,-2.261509001255035400e-01,3.024944961071014404e-01,-1.505971789360046387e+00
-1.455541610717773438e+00,1.623800545930862427e-01,9.565173983573913574e-01,7.259736210107803345e-02,-1.312888320535421371e-02,-9.346318840980529785e-01,3.478803038597106934e-01,-8.916223049163818359e-01,-1.005822196602821350e-01,-5.358869433403015137e-01,1.251073956489562988e+00,-3.440720140933990479e-01,-1.154309138655662537e-01,-3.125624954700469971e-01,-1.752148866653442383e-01,5.007950663566589355e-01,1.841081231832504272e-01,-1.197080612182617188e-01,1.975368410348892212e-01,-3.551968559622764587e-02,5.207436531782150269e-02,1.665239483118057251e-01,4.070011675357818604e-01,2.061395645141601562e-01,3.312931656837463379e-01,-4.208075106143951416e-01,-1.792949587106704712e-01,-1.863721460103988647e-01,3.319076597690582275e-01,-1.505636930465698242e+00
-1.454619526863098145e+00,1.458601057529449463e-01,9.542995691299438477e-01,7.375819981098175049e-02,-1.122307311743497849e-02,-9.381117820739746094e-01,3.382014036178588867e-01,-8.575314283370971680e-01,-6.878715008497238159e-02,-5.533463358879089355e-01,1.079922318458557129e+00,-3.358365595340728760e-01,-9.559778869152069092e-02,-3.125426769256591797e-01,-1.850909739732742310e-01,5.166057944297790527e-01,1.829026192426681519e-01,-1.272451132535934448e-01,2.129974067211151123e-01,-2.992750704288482666e-02,5.508499592542648315e-02,1.703811585903167725e-01,4.166593253612518311e-01,2.040176540613174438e-01,3.614654541015625000e-01,-4.257885217666625977e-01,-1.764113903045654297e-01,-1.635747551918029785e-01,3.340230286121368408e-01,-1.484391689300537109e+00
-1.450921535491943359e+00,1.103856265544891357e-01,9.477086663246154785e-01,7.806348055601119995e-02,-6.092264782637357712e-03,-9.468361735343933105e-01,3.120420873165130615e-01,-7.223042845726013184e-01,1.266496162861585617e-02,-6.010346412658691406e-01,6.413450837135314941e-01,-2.733653783798217773e-01,-7.189489156007766724e-02,-3.173027038574218750e-01,-2.060526162385940552e-01,5.530166029930114746e-01,1.634478271007537842e-01,-1.379864811897277832e-01,2.423587143421173096e-01,-2.152152732014656067e-02,4.639761149883270264e-02,1.764447987079620361e-01,4.283456802368164062e-01,1.952223479747772217e-01,4.361859858036041260e-01,-4.590251147747039795e-01,-1.862965226173400879e-01,-1.426281332969665527e-01,3.395956456661224365e-01,-1.387736678123474121e+00
-1.446600079536437988e+00,7.011114805936813354e-02,9.353093504905700684e-01,7.088962942361831665e-02,1.349689252674579620e-02,-9.595485925674438477e-01,2.721382379531860352e-01,-5.003849864006042480e-01,1.694031804800033569e-01,-6.262989044189453125e-01,1.323553472757339478e-01,-1.274139881134033203e-01,-4.098083823919296265e-02,-2.893154919147491455e-01,-2.028598338365554810e-01,5.932629704475402832e-01,1.148834079504013062e-01,-1.446224004030227661e-01,2.527753710746765137e-01,2.545884437859058380e-02,5.006173998117446899e-02,1.959068030118942261e-01,4.675925672054290771e-01,1.722527742385864258e-01,4.468187093734741211e-01,-5.950241684913635254e-01,-1.728110015392303467e-01,-1.255215108394622803e-01,3.073894679546356201e-01,-1.255235195159912109e+00
